trip_id,arrival_time,departure_time,stop_id,stop_sequence
1001A-2c54408d,23:50:00,23:50:00,S01933,1
1001A-2c54408d,23:53:00,23:54:00,S01724,2
1001A-2c54408d,23:57:00,23:58:00,S01725,3
1001A-2c54408d,24:00:00,24:00:00,S01726,4
1001A-2c54408d,24:03:00,24:04:00,S01727,5
1001A-2c54408d,24:06:00,24:06:00,S01728,6
1001A-2c54408d,24:08:00,24:09:00,S01729,7
1001A-2c54408d,24:11:00,24:11:00,S01734,8
1001A-2c54408d,24:13:00,24:14:00,S01735,9
1001A-2c54408d,24:18:00,24:19:00,S01736,10
1001A-2c54408d,24:25:00,24:26:00,S01737,11
1001A-2c54408d,24:35:00,24:35:00,S01738,12
1009A-2ca9725c,06:45:00,06:45:00,S01738,1
1009A-2ca9725c,06:55:00,06:55:00,S01741,2
1009A-2ca9725c,07:02:00,07:02:00,S01742,3
1009A-2ca9725c,07:07:00,07:07:00,S01744,4
1009A-2ca9725c,07:11:00,07:11:00,S01745,5
1009A-2ca9725c,07:15:00,07:15:00,S01746,6
1009A-2ca9725c,07:27:00,07:27:00,S01747,7
101A-49a99974,23:50:00,23:50:00,S01933,1
101A-49a99974,23:54:00,23:55:00,S01755,2
101A-49a99974,23:58:00,23:59:00,S01756,3
101A-49a99974,24:04:00,24:05:00,S01757,4
101A-49a99974,24:08:00,24:08:00,S01758,5
101A-49a99974,24:11:00,24:12:00,S01759,6
101A-49a99974,24:17:00,24:18:00,S01760,7
101A-49a99974,24:20:00,24:20:00,S01761,8
101A-49a99974,24:24:00,24:25:00,S01762,9
101A-49a99974,24:28:00,24:29:00,S01763,10
101A-49a99974,24:32:00,24:32:00,S01764,11
101A-49a99974,24:36:00,24:36:00,S01765,12
102153-ed8b88b5,06:20:00,06:20:00,S01700,1
102153-ed8b88b5,06:26:00,06:27:00,S01701,2
102153-ed8b88b5,06:32:00,06:33:00,S01820,3
102153-ed8b88b5,06:46:00,06:47:00,S01825,4
102153-ed8b88b5,07:01:00,07:02:00,S01828,5
102153-ed8b88b5,07:12:00,07:13:00,S01912,6
102153-ed8b88b5,07:28:00,07:30:00,S01915,7
102153-ed8b88b5,07:49:00,07:49:00,S01919,8
102153-865fdc4d,06:20:00,06:20:00,S01700,1
102153-865fdc4d,06:26:00,06:27:00,S01701,2
102153-865fdc4d,06:32:00,06:33:00,S01820,3
102153-865fdc4d,06:46:00,06:47:00,S01825,4
102153-865fdc4d,07:01:00,07:02:00,S01828,5
102153-865fdc4d,07:12:00,07:13:00,S01912,6
102153-865fdc4d,07:28:00,07:30:00,S01915,7
102153-865fdc4d,07:49:00,07:50:00,S01919,8
102153-865fdc4d,07:59:00,07:59:00,S01920,9
102154-3deadf8f,05:48:00,05:48:00,S01919,1
102154-3deadf8f,05:53:00,05:54:00,S01918,2
102154-3deadf8f,06:00:00,06:01:00,S01917,3
102154-3deadf8f,06:07:00,06:08:00,S01916,4
102154-3deadf8f,06:13:00,06:15:00,S01915,5
102154-3deadf8f,06:27:00,06:28:00,S01912,6
102154-3deadf8f,06:38:00,06:39:00,S01828,7
102154-3deadf8f,06:57:00,06:58:00,S01825,8
102154-3deadf8f,07:13:00,07:15:00,S01820,9
102154-3deadf8f,07:21:00,07:23:00,S01701,10
102154-3deadf8f,07:30:00,07:30:00,S01700,11
102154-51c33d0a,05:40:00,05:40:00,S01920,1
102154-51c33d0a,05:47:00,05:48:00,S01919,2
102154-51c33d0a,05:53:00,05:54:00,S01918,3
102154-51c33d0a,06:00:00,06:01:00,S01917,4
102154-51c33d0a,06:07:00,06:08:00,S01916,5
102154-51c33d0a,06:13:00,06:15:00,S01915,6
102154-51c33d0a,06:27:00,06:28:00,S01912,7
102154-51c33d0a,06:38:00,06:39:00,S01828,8
