trip_id,route_id,trip_short_name,service_id
1001A-2c54408d,Bus,1001A,1001A-2c54408d
1009A-2ca9725c,Bus,1009A,1009A-2ca9725c
101A-49a99974,Bus,101A,101A-49a99974
102153-ed8b88b5,RE_11,RE_11 - 2153,102153-ed8b88b5
102153-865fdc4d,RE_11,RE_11 - 2153,102153-865fdc4d
102154-3deadf8f,RE_11,RE_11 - 2154,102154-3deadf8f
102154-51c33d0a,RE_11,RE_11 - 2154,102154-51c33d0a
102156-987c1daa,RE_11,RE_11 - 2156,102156-987c1daa
102156-6e6f6d56,RE_11,RE_11 - 2156,102156-6e6f6d56
102156-8200c234,RE_11,RE_11 - 2156,102156-8200c234
102157-33a15936,RE_11,RE_11 - 2157,102157-33a15936
102157-3f2bf1b3,RE_11,RE_11 - 2157,102157-3f2bf1b3
102157-1bf37f40,RE_11,RE_11 - 2157,102157-1bf37f40
102158-9d691dc1,RE_11,RE_11 - 2158,102158-9d691dc1
102158-06b63629,RE_11,RE_11 - 2158,102158-06b63629
102158-3405321f,RE_11,RE_11 - 2158,102158-3405321f
102159-1fed7795,RE_11,RE_11 - 2159,102159-1fed7795
102159-44c212f1,RE_11,RE_11 - 2159,102159-44c212f1
102161-5a0fa406,RE_11,RE_11 - 2161,102161-5a0fa406
102161-59ba41be,RE_11,RE_11 - 2161,102161-59ba41be
102161-1c6716a1,RE_11,RE_11 - 2161,102161-1c6716a1
102162-4f384dd6,RE_11,RE_11 - 2162,102162-4f384dd6
102162-2f534332,RE_11,RE_11 - 2162,102162-2f534332
102162-86c6827e,RE_11,RE_11 - 2162,102162-86c6827e
102165-39660435,RE_11,RE_11 - 2165,102165-39660435
102165-80c4d496,RE_11,RE_11 - 2165,102165-80c4d496
102166-d39f1428,RE_11,RE_11 - 2166,102166-d39f1428
102166-d1312708,RE_11,RE_11 - 2166,102166-d1312708
102166-5d679eec,RE_11,RE_11 - 2166,102166-5d679eec
102166-b0e09715,RE_11,RE_11 - 2166,102166-b0e09715
102167-f915094d,RE_11,RE_11 - 2167,102167-f915094d
102168-6d5a08b4,RE_11,RE_11 - 2168,102168-6d5a08b4
102168-dd6c99eb,RE_11,RE_11 - 2168,102168-dd6c99eb
102168-0a38cf07,RE_11,RE_11 - 2168,102168-0a38cf07
102169-d5ccd7fa,RE_11,RE_11 - 2169,102169-d5ccd7fa
102169-806fabeb,RE_11,RE_11 - 2169,102169-806fabeb
102170-890ab602,RE_11,RE_11 - 2170,102170-890ab602
102170-1d468ef2,RE_11,RE_11 - 2170,102170-1d468ef2
102170-03f96b23,RE_11,RE_11 - 2170,102170-03f96b23
102173-293d3ca7,RE_11,RE_11 - 2173,102173-293d3ca7
102173-621a9c82,RE_11,RE_11 - 2173,102173-621a9c82
102174-e0ff45ba,RE_11,RE_11 - 2174,102174-e0ff45ba
102174-b2a76ee1,RE_11,RE_11 - 2174,102174-b2a76ee1
102174-2b1005db,RE_11,RE_11 - 2174,102174-2b1005db
102175-1af6e0c9,RE_11,RE_11 - 2175,102175-1af6e0c9
102175-9ef669e2,RE_11,RE_11 - 2175,102175-9ef669e2
102176-1661c70f,RE_11,RE_11 - 2176,102176-1661c70f
102176-18810942,RE_11,RE_11 - 2176,102176-18810942
102177-456e87ca,RE_11,RE_11 - 2177,102177-456e87ca
102177-fcabd64d,RE_11,RE_11 - 2177,102177-fcabd64d
102178-ccab4da3,RE_11,RE_11 - 2178,102178-ccab4da3
102178-248799da,RE_11,RE_11 - 2178,102178-248799da
102178-39c8aa5b,RE_11,RE_11 - 2178,102178-39c8aa5b
102179-f4655e47,RE_11,RE_11 - 2179,102179-f4655e47
102179-1f69722d,RE_11,RE_11 - 2179,102179-1f69722d
102180-55a2b60f,RE_11,RE_11 - 2180,102180-55a2b60f
102181-2818fe18,RE_11,RE_11 - 2181,102181-2818fe18
102181-cf8e1f93,RE_11,RE_11 - 2181,102181-cf8e1f93
102182-aa950169,RE_11,RE_11 - 2182,102182-aa950169
102182-d2a17405,RE_11,RE_11 - 2182,102182-d2a17405
102182-1c522a70,RE_11,RE_11 - 2182,102182-1c522a70
102185-00071bef,RE_11,RE_11 - 2185,102185-00071bef
102186-7bfdc881,RE_11,RE_11 - 2186,102186-7bfdc881
102186-ebeec466,RE_11,RE_11 - 2186,102186-ebeec466
102201-51d0753e,RE_2,RE_2 - 2201,102201-51d0753e
102201-ee001755,RE_2,RE_2 - 2201,102201-ee001755
102206-cd48588b,RE_2,RE_2 - 2206,102206-cd48588b
102211-1cf1bbb5,RE_2,RE_2 - 2211,102211-1cf1bbb5
102211-d1405cc7,RE_2,RE_2 - 2211,102211-d1405cc7
102212-8072fe69,RE_2,RE_2 - 2212,102212-8072fe69
102213-793a36ce,RE_2,RE_2 - 2213,102213-793a36ce
102214-222c163a,RE_2,RE_2 - 2214,102214-222c163a
102215-2cafa053,RE_2,RE_2 - 2215,102215-2cafa053
102216-00b66e1f,RE_2,RE_2 - 2216,102216-00b66e1f
102217-35c9e8ce,RE_2,RE_2 - 2217,102217-35c9e8ce
102218-d76ac1a5,RE_2,RE_2 - 2218,102218-d76ac1a5
102219-5c948231,RE_2,RE_2 - 2219,102219-5c948231
102220-68ea7581,RE_2,RE_2 - 2220,102220-68ea7581
102221-2e201693,RE_2,RE_2 - 2221,102221-2e201693
102222-d5d8f635,RE_2,RE_2 - 2222,102222-d5d8f635
102223-9b2ef239,RE_2,RE_2 - 2223,102223-9b2ef239
102224-873bcc35,RE_2,RE_2 - 2224,102224-873bcc35
102225-4e366fd5,RE_2,RE_2 - 2225,102225-4e366fd5
102226-b8859ec9,RE_2,RE_2 - 2226,102226-b8859ec9
102227-cf143690,RE_2,RE_2 - 2227,102227-cf143690
102228-f8997f4f,RE_2,RE_2 - 2228,102228-f8997f4f
102229-57579554,RE_2,RE_2 - 2229,102229-57579554
102230-e63e9792,RE_2,RE_2 - 2230,102230-e63e9792
102231-75574406,RE_2,RE_2 - 2231,102231-75574406
102232-a34c6f56,RE_2,RE_2 - 2232,102232-a34c6f56
102233-dc03e0c0,RE_2,RE_2 - 2233,102233-dc03e0c0
102234-afa362a5,RE_2,RE_2 - 2234,102234-afa362a5
102235-fbf7024f,RE_2,RE_2 - 2235,102235-fbf7024f
102236-b79b759f,RE_2,RE_2 - 2236,102236-b79b759f
102237-d9c1b277,RE_2,RE_2 - 2237,102237-d9c1b277
102238-0079b4c4,RE_2,RE_2 - 2238,102238-0079b4c4
102239-6b60ac55,RE_2,RE_2 - 2239,102239-6b60ac55
102240-b589ae23,RE_2,RE_2 - 2240,102240-b589ae23
102241-f33409eb,RE_2,RE_2 - 2241,102241-f33409eb
102242-d4d03edc,RE_2,RE_2 - 2242,102242-d4d03edc
102243-5729b585,RE_2,RE_2 - 2243,102243-5729b585
102243-4bfa4332,RE_2,RE_2 - 2243,102243-4bfa4332
102244-bf1792f5,RE_2,RE_2 - 2244,102244-bf1792f5
102244-e326aa3b,RE_2,RE_2 - 2244,102244-e326aa3b
102244-d5ac5546,RE_2,RE_2 - 2244,102244-d5ac5546
102245-b048f8f7,RE_2,RE_2 - 2245,102245-b048f8f7
102246-b0c0475c,RE_2,RE_2 - 2246,102246-b0c0475c
102246-b811aada,RE_2,RE_2 - 2246,102246-b811aada
102247-97127c12,RE_2,RE_2 - 2247,102247-97127c12
102247-e59ad791,RE_2,RE_2 - 2247,102247-e59ad791
102248-400e63c1,RE_2,RE_2 - 2248,102248-400e63c1
102253-d9256ef9,RE_2,RE_2 - 2253,102253-d9256ef9
102253-e2176f7e,RE_2,RE_2 - 2253,102253-e2176f7e
102255-6496b822,RE_2,RE_2 - 2255,102255-6496b822
102256-8f9a4a11,RE_2,RE_2 - 2256,102256-8f9a4a11
102257-cfe88f10,RE_2,RE_2 - 2257,102257-cfe88f10
102258-fec5752f,RE_2,RE_2 - 2258,102258-fec5752f
102260-4b044cb8,RE_2,RE_2 - 2260,102260-4b044cb8
102262-b0f9d5bb,RE_2,RE_2 - 2262,102262-b0f9d5bb
102271-da91da16,RE_2,RE_2 - 2271,102271-da91da16
102273-cf38989c,RE_2,RE_2 - 2273,102273-cf38989c
102275-a51b362d,RE_2,RE_2 - 2275,102275-a51b362d
102276-678dd4cb,RE_2,RE_2 - 2276,102276-678dd4cb
102277-31d15f31,RE_2,RE_2 - 2277,102277-31d15f31
102277-df2e5f26,RE_2,RE_2 - 2277,102277-df2e5f26
102278-8dfa80e5,RE_2,RE_2 - 2278,102278-8dfa80e5
102279-3029a9d1,RE_2,RE_2 - 2279,102279-3029a9d1
102280-d0393502,RE_2,RE_2 - 2280,102280-d0393502
102282-17674a93,RE_2,RE_2 - 2282,102282-17674a93
102284-5d69a971,RE_2,RE_2 - 2284,102284-5d69a971
102301-29cb53f0,RE_13,RE_13 - 2301,102301-29cb53f0
102301-d69e97bd,RE_13,RE_13 - 2301,102301-d69e97bd
102301-32bc4e91,RE_13,RE_13 - 2301,102301-32bc4e91
102303-1bb19701,RE_13,RE_13 - 2303,102303-1bb19701
102303-51266162,RE_13,RE_13 - 2303,102303-51266162
102303-dda76242,RE_13,RE_13 - 2303,102303-dda76242
102304-a04c8a5a,RE_13,RE_13 - 2304,102304-a04c8a5a
102309-3b65dd12,RE_13,RE_13 - 2309,102309-3b65dd12
102309-35524fb9,RE_13,RE_13 - 2309,102309-35524fb9
102310-105a6972,RE_13,RE_13 - 2310,102310-105a6972
102311-901db7db,RE_13,RE_13 - 2311,102311-901db7db
102312-20904f8c,RE_13,RE_13 - 2312,102312-20904f8c
102312-731ad2e7,RE_13,RE_13 - 2312,102312-731ad2e7
102313-d1c52972,RE_13,RE_13 - 2313,102313-d1c52972
102313-b0514267,RE_13,RE_13 - 2313,102313-b0514267
102313-cd182fb8,RE_13,RE_13 - 2313,102313-cd182fb8
102313-f79503d7,RE_13,RE_13 - 2313,102313-f79503d7
102313-7e3d8815,RE_13,RE_13 - 2313,102313-7e3d8815
